20.44; 10.25
21.48; 10.41
22.58; 10.47
23.73; 10.50
24.95; 10.54
26.22; 10.61
27.56; 10.65
28.97; 10.63
30.44; 10.62
32.00; 10.66
33.63; 10.70
35.35; 10.73
37.16; 10.78
39.05; 10.87
41.05; 10.95
43.14; 11.02
45.35; 11.12
47.66; 11.21
50.10; 11.29
52.65; 11.37
55.34; 11.43
58.17; 11.50
61.14; 11.54
64.26; 11.58
67.54; 11.60
70.99; 11.62
74.62; 11.62
78.43; 11.62
82.43; 11.58
86.64; 11.53
91.06; 11.40
95.71; 11.19
100.60; 10.87
105.74; 10.40
111.14; 9.85
116.81; 9.24
122.50; 8.58
128.17; 7.93
134.11; 7.25
140.00; 6.57
145.83; 5.87
151.55; 5.19
157.14; 4.52
162.93; 3.83
169.33; 3.12
176.37; 2.40
184.12; 1.72
193.08; 1.09
202.94; 0.58
213.30; 0.23
224.20; -0.02
235.64; -0.21
247.68; -0.38
260.32; -0.52
273.62; -0.66
287.59; -0.80
302.27; -0.94
317.71; -1.08
333.93; -1.20
350.98; -1.33
368.91; -1.47
387.74; -1.61
407.54; -1.75
428.35; -1.84
450.23; -1.80
473.22; -1.65
497.38; -1.46
522.78; -1.25
549.47; -0.97
577.53; -0.64
607.02; -0.30
638.01; 0.04
670.59; 0.36
704.84; 0.57
740.83; 0.69
778.66; 0.74
818.42; 0.78
860.21; 0.85
904.13; 1.08
950.30; 1.52
998.82; 2.12
1049.83; 2.55
1098.45; 3.23
1146.72; 3.89
1202.55; 4.50
1263.96; 5.07
1328.50; 5.63
1396.34; 6.13
1467.64; 6.50
1542.58; 6.89
1621.35; 7.28
1704.14; 7.56
1791.16; 7.72
1882.62; 7.60
1978.75; 7.26
2079.79; 6.79
2185.99; 6.28
2297.62; 5.94
2414.94; 6.23
2538.25; 6.81
2667.86; 7.02
2804.09; 6.47
2947.28; 6.09
3097.77; 6.19
3219.31; 6.76
3307.96; 7.49
3399.05; 8.21
3508.50; 8.89
3662.69; 9.36
3806.39; 8.79
3955.73; 8.48
4101.63; 9.35
4167.14; 10.13
4252.91; 10.81
4409.78; 11.29
4572.42; 10.64
4643.95; 9.87
4701.88; 9.19
4790.39; 8.51
4983.16; 7.67
5237.62; 7.63
5467.81; 8.35
5708.11; 9.04
5958.98; 9.58
6164.79; 10.33
6277.45; 11.03
6367.42; 11.72
6464.93; 12.50
6612.95; 13.21
6872.40; 13.51
7125.88; 12.77
7237.35; 12.01
7327.63; 11.34
7451.09; 10.66
7572.55; 9.96
7783.59; 9.18
8088.97; 8.55
8502.02; 8.09
8835.58; 7.34
9058.35; 6.64
9265.75; 5.95
9477.89; 5.26
9827.47; 4.50
10216.34; 4.88
10376.16; 5.65
10518.05; 6.39
10827.28; 7.14
10922.47; 7.30
11199.07; 6.27
11318.49; 5.26
11380.15; 4.47
11488.86; 3.54
11593.37; 2.47
11698.82; 1.40
11824.34; 0.39
12180.76; -0.30
12581.79; 0.53
12720.89; 1.44
12801.78; 2.16
12924.07; 3.08
13041.63; 4.12
13160.26; 5.08
13292.85; 6.05
13431.13; 7.02
13738.64; 8.16
13794.73; 7.68
14164.98; 7.13
14277.65; 6.45
14407.52; 5.75
14494.76; 5.03
14626.60; 4.26
14759.64; 3.48
14938.92; 2.71
15029.37; 1.97
15211.92; 1.24
15357.24; 0.51
15808.74; -0.28
16428.97; -0.84
16797.51; -1.52
16996.41; -2.21
17112.23; -2.95
17189.88; -3.63
17329.41; -4.59
17424.95; -5.53
17504.02; -6.26
17559.58; -7.07
17639.26; -7.81
17719.30; -8.61
17799.71; -9.39
17999.60; -10.17
18281.58; -10.88
18314.71; -11.41
19126.29; -9.73
19162.96; -9.04
19646.13; -9.98
19722.51; -10.80
19884.75; -11.76
